厂长没爹妈	8	3	2.6666666666666665
hsbmxw	15	3	5.0
Aathma	3	3	1.0
10jju	40	3	13.333333333333334
豫丶E丨健	45	3	15.0
玉置亚子	22	3	7.333333333333333
闲庭信步...	42	3	14.0
唔得翻顺...	0	3	0.0
天涯丶	0	3	0.0
四大皆空	30	3	10.0
清风木轩	44	3	14.666666666666666
铺歌	12	3	4.0
那温暖动人	87	3	29.0
渺谜	0	3	0.0
立正丶睡觉	2	3	0.6666666666666666
九十米蔚蓝	21	3	7.0
叼丝sky	109	3	36.333333333333336
等等等等...	60	3	20.0
大埋	0	3	0.0
艹蛋的蛋...	155	3	51.666666666666664
阿贝阿贝啊	2	3	0.6666666666666666
uzi它爹	10	3	3.3333333333333335
OMG售实力中单	104	3	34.666666666666664
LPL加油	3	3	1.0
HeyIcarus	5	3	1.6666666666666667
g2吊打洗...	15	3	5.0
disddk	1	3	0.3333333333333333
952246084湮灭	3	3	1.0
RNG必满贯	710	2	355.0
带带大缪...	502	2	251.0
波风水门	806	2	403.0
小蛇教父	388	2	194.0
万米高的...	484	2	242.0
航海家苻坚	317	2	158.5
闪电电	457	2	228.5
韩杂	500	2	250.0
华佗的开...	461	2	230.5
周慕云	294	2	147.0
不许杀币...	235	2	117.5
飘渺孤鸿...	401	2	200.5
Bzheieig	202	2	101.0
reatas	189	2	94.5
别看了是...	199	2	99.5
模样不一样	174	2	87.0
久扮友	170	2	85.0
丿Jessica丶s	224	2	112.0
哥的扫把...	218	2	109.0
人民解放均	218	2	109.0
设计是空	174	2	87.0
买下三个...	155	2	77.5
叙利亚兵...	190	2	95.0
风之峡谷i	153	2	76.5
二兜	164	2	82.0
泡馍超好...	198	2	99.0
火爆腰花...	241	2	120.5
不	351	2	175.5
象岛兔女	131	2	65.5
温其入玉	137	2	68.5
很懵	125	2	62.5
Tarzan	125	2	62.5
wshyiwb	187	2	93.5
Oranglelife	119	2	59.5
我风丶	196	2	98.0
我叫三勇	138	2	69.0
qimiao168	110	2	55.0
铁域神牛	129	2	64.5
风靡RX	101	2	50.5
波斯湾尽头	150	2	75.0
西安土著	206	2	103.0
林徽因好骚	96	2	48.0
小袜子Me	92	2	46.0
linxi205	90	2	45.0
卡分是我...	89	2	44.5
辉指导	110	2	55.0
丶绫	114	2	57.0
冠军AD简...	140	2	70.0
此吊已被...	88	2	44.0
look破不说破	104	2	52.0
夜鹰之	105	2	52.5
花甲和龙...	77	2	38.5
无声新	96	2	48.0
明恋丶	143	2	71.5
爱妃的小...	74	2	37.0
子午宙	73	2	36.5
感画凯	73	2	36.5
望眼云霄	98	2	49.0
Ame	77	2	38.5
稻田二棵葱	63	2	31.5
给上单道歉	123	2	61.5
不吵21184	126	2	63.0
爱你的虎...	62	2	31.0
似锦igg	60	2	30.0
少鲶	100	2	50.0
魔王娇羞兔	60	2	30.0
